
BOH;Bohemia;Boh?e;B?men;;Bohemia;;;;;;;;;x;;;;
DZG;Danzig-Pomeralia;Dantzig;Danzig;;Danzig;;;;;;;;;x;;;;
KRA;Galicia-Lodomeria;Cracovie;Krakau;;Cracovia;;;;;;;;;x;;;;
SIE;Transilvania;Transylvanie;Siebenb?gen;;Transilvania;;;;;;;;;x;;;;
SAR;Savoy;Pi?ont-Sardaigne;Sardinien-Piemont;;Piamonte-Cerde?;;;;;;;;;x;;;;
SIC;Napoles;Deux-Siciles;Sizilien-Neapel;;Las Dos Sicilias;;;;;;;;;x;;;;
ENG;Anglia;Royaume-Uni;Gro?ritannien;;Reino Unido;;;;;;;;;x;;;;
AFG;Durrani Empire;Afghanistan;Afghanistan;;Afganist?;;;;;;;;;x;;;;
CAM;Khmer Empire;Cambodge;Kambodscha;;Camboya;;;;;;;;;x;;;;
USA;Fredikerjord;?ats-Unis d'Am?ique;USA;;EE UU;;;;;;;;;x;;;;
COL;Vestlandet;Colombie;Columbia;;Columbia;;;;;;;;;x;;;;
NEN;New Sjaelland;Nouvelle-Angleterre;Neuengland;;Nueva Inglaterra;;;;;;;;;x;;;;
CUB;Kuba;Cuba;Kuba;;Cuba;;;;;;;;;x;;;;
QUE;Vinland;Qu?ec;Quebec;;Quebec;;;;;;;;;x;;;;
ARG;Provincias Unidas De La Plata;Argentine;Argentinien;;Argentina;;;;;;;;;x;;;;
CLM;Nueva Granada;Colombie;Kolumbien;;Colombia;;;;;;;;;x;;;;
MAN;The Union Of Vinland;Manhattan;Manhattan-Kommune;;Com de Manhattan;;;;;;;;;x;;;;
MUG;Mughal Empire;Mogholistan;Mughalistan;;Mughalist?;;;;;;;;;x;;;;
AGO_ADJ;Aragonese;Aragonese;Aragonese;;;;;;;;;;;x;
PON_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
PON_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
PON_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
PON_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
PON_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
OUT_ADJ;Outremian;Outremian;Outremian;;;;;;;;;;;x;
OUT;Outremer;Outremer;Outremer;;;;;;;;;;;x;
OUT_proletarian_dictatorship;Union Of the Crusader States;Union Of the Crusader States;Union Of the Crusader States;;;;;;;;;;;x;
OUT_presidential_dictatorship;Republic Of Outremer;Republic Of Outremer;Republic Of Outremer;;;;;;;;;;;x;
OUT_bourgeois_dictatorship;Outremer;Outremer;Outremer;;;;;;;;;;;x;
OUT_fascist_dictatorship;The Crusade;The Crusade;The Crusade;;;;;;;;;;;x;
OUT_absolute_monarchy;Kingdom Of Outremer;Kingdom Of Outremer;Kingdom Of Outremer;;;;;;;;;;;x;
OUT_prussian_constitutionalism;Kingdom Of Outremer;Kingdom Of Outremer;Kingdom Of Outremer;;;;;;;;;;;x;
OUT_hms_government;Outremer;Outremer;Outremer;;;;;;;;;;;x;
OUT_democracy;Republic Of Outremer;Republic Of Outremer;Republic Of Outremer;;;;;;;;;;;x;
OUT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
OUT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
OUT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
OUT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
OUT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
OUT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
OUT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
OUT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
OUT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
EDE_ADJ;Edessan;Edessan;Edessan;;;;;;;;;;;x;
EDE;Edessa;Edessa;Edessa;;;;;;;;;;;x;
EDE_proletarian_dictatorship;Edessa;Edessa;Edessa;;;;;;;;;;;x;
EDE_presidential_dictatorship;Edessa;Edessa;Edessa;;;;;;;;;;;x;
EDE_bourgeois_dictatorship;Edessa;Edessa;Edessa;;;;;;;;;;;x;
EDE_fascist_dictatorship;Edessa;Edessa;Edessa;;;;;;;;;;;x;
EDE_absolute_monarchy;Edessa;Edessa;Edessa;;;;;;;;;;;x;
EDE_prussian_constitutionalism;Edessa;Edessa;Edessa;;;;;;;;;;;x;
EDE_hms_government;Edessa;Edessa;Edessa;;;;;;;;;;;x;
EDE_democracy;Edessa;Edessa;Edessa;;;;;;;;;;;x;
EDE_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
EDE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
EDE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
EDE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
EDE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
EDE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
EDE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
EDE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
EDE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
CAU_ADJ;Caucasian;Caucasian;Caucasian;;;;;;;;;;;x;
CAU;Transcaucasia;Transcaucasia;Transcaucasia;;;;;;;;;;;x;
CAU_proletarian_dictatorship;Transcaucasia;Transcaucasia;Transcaucasia;;;;;;;;;;;x;
CAU_presidential_dictatorship;Transcaucasia;Transcaucasia;Transcaucasia;;;;;;;;;;;x;
CAU_bourgeois_dictatorship;Edessa;Transcaucasia;Transcaucasia;;;;;;;;;;;x;
CAU_fascist_dictatorship;Transcaucasia;Transcaucasia;Transcaucasia;;;;;;;;;;;x;
CAU_absolute_monarchy;Transcaucasia;Transcaucasia;Transcaucasia;;;;;;;;;;;x;
CAU_prussian_constitutionalism;Transcaucasia;Transcaucasia;Transcaucasia;;;;;;;;;;;x;
CAU_hms_government;Transcaucasia;Transcaucasia;Transcaucasia;;;;;;;;;;;x;
CAU_democracy;Transcaucasia;Transcaucasia;Transcaucasia;;;;;;;;;;;x;
CAU_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
CAU_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
CAU_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CAU_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
CAU_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
CAU_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
CAU_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
CAU_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
CAU_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
DNB_ADJ;Danubian;Danubian;Danubian;;;;;;;;;;;x;
DNB;Danubian Federation;Danubian Federation;Danubian Federation;;;;;;;;;;;x;
DNB_proletarian_dictatorship;Danubian Union;Danubian Union;Danubian Union;;;;;;;;;;;x;
DNB_presidential_dictatorship;Danubian Federation;Danubian Federation;Danubian Federation;;;;;;;;;;;x;
DNB_bourgeois_dictatorship;Danubian Federation;Danubian Federation;Danubian Federation;;;;;;;;;;;x;
DNB_fascist_dictatorship;Danubian Federation;Danubian Federation;Danubian Federation;;;;;;;;;;;x;
DNB_absolute_monarchy;Danubian Federation;Danubian Federation;Danubian Federation;;;;;;;;;;;x;
DNB_prussian_constitutionalism;Danubian Federation;Danubian Federation;Danubian Federation;;;;;;;;;;;x;
DNB_hms_government;Danubian Federation;Danubian Federation;Danubian Federation;;;;;;;;;;;x;
DNB_democracy;Danubian Republic;Danubian Republic;Danubian Republic;;;;;;;;;;;x;
DNB_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
DNB_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
DNB_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
DNB_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
DNB_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
DNB_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
DNB_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
DNB_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
DNB_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
RHE_ADJ;Rhenish;Rhenish;Rhenish;;;;;;;;;;;x;
RHE;Rhein Federation;Rhein Federation;Rhein Federation;;;;;;;;;;;x;
RHE_proletarian_dictatorship;Rhenish Peoples Union;Rhenish Peoples Union;Rhenish Peoples Union;;;;;;;;;;;x;
RHE_presidential_dictatorship;Rhenish Republic;Rhenish Republic;Rhenish Republic;;;;;;;;;;;x;
RHE_bourgeois_dictatorship;Rhein Federation;Rhein Federation;Rhein Federation;;;;;;;;;;;x;
RHE_fascist_dictatorship;Rhein Federation;Rhein Federation;Rhein Federation;;;;;;;;;;;x;
RHE_absolute_monarchy;Rhein Federation;Rhein Federation;Rhein Federation;;;;;;;;;;;x;
RHE_prussian_constitutionalism;Rhein Federation;Rhein Federation;Rhein Federation;;;;;;;;;;;x;
RHE_hms_government;Rhein Federation;Rhein Federation;Rhein Federation;;;;;;;;;;;x;
RHE_democracy;Rhein Federal Republic;Rhein Federal Republic;Rhein Federal Republic;;;;;;;;;;;x;
RHE_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
RHE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
RHE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
RHE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
RHE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
RHE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
RHE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
RHE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
RHE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
CEL_ADJ;Celtic;Celtic;Celtic;;;;;;;;;;;x;
CEL;Celtic Union;Celtic Union;Celtic Union;;;;;;;;;;;x;
CEL_proletarian_dictatorship;Celtic Peoples Union;Celtic Peoples Union;Celtic Peoples Union;;;;;;;;;;;x;
CEL_presidential_dictatorship;Celtic Republic;Celtic Republic;Celtic Republic;;;;;;;;;;;x;
CEL_bourgeois_dictatorship;Celtic Union;Celtic Union;Celtic Union;;;;;;;;;;;x;
CEL_fascist_dictatorship;Celtic Empire;Celtic Empire;Celtic Empire;;;;;;;;;;;x;
CEL_absolute_monarchy;Celtic Kingdom;Celtic Kingdom;Celtic Kingdom;;;;;;;;;;;x;
CEL_prussian_constitutionalism;Celtic Union;Celtic Union;Celtic Union;;;;;;;;;;;x;
CEL_hms_government;Celtic Union;Celtic Union;Celtic Union;;;;;;;;;;;x;
CEL_democracy;Celtic Republic;Celtic Republic;Celtic Republic;;;;;;;;;;;x;
CEL_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
CEL_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
CEL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CEL_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
CEL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
CEL_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
CEL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
CEL_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
CEL_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
XHO_ADJ;Xhosan;Xhosan;Xhosan;;;;;;;;;;;x;
XHO;Xhosa;Xhosa;Xhosa;;;;;;;;;;;x;
XHO_proletarian_dictatorship;Xhosa;Xhosa;Xhosa;;;;;;;;;;;x;
XHO_presidential_dictatorship;Xhosa;Xhosa;Xhosa;;;;;;;;;;;x;
XHO_bourgeois_dictatorship;Xhosa;Xhosa;Xhosa;;;;;;;;;;;x;
XHO_fascist_dictatorship;Xhosa;Xhosa;Xhosa;;;;;;;;;;;x;
XHO_absolute_monarchy;Xhosa;Xhosa;Xhosa;;;;;;;;;;;x;
XHO_prussian_constitutionalism;Xhosa;Xhosa;Xhosa;;;;;;;;;;;x;
XHO_hms_government;Xhosa;Xhosa;Xhosa;;;;;;;;;;;x;
XHO_democracy;Xhosa;Xhosa;Xhosa;;;;;;;;;;;x;
XHO_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
XHO_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
XHO_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
XHO_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
XHO_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
XHO_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
XHO_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
XHO_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
XHO_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
KRL_ADJ;Karolean;Karolean;Karolean;;;;;;;;;;;x;
KRL;Karlant;Karlant;Karlant;;;;;;;;;;;x;
KRL_proletarian_dictatorship;Karlant;Karlant;Karlant;;;;;;;;;;;x;
KRL_presidential_dictatorship;Karlant;Karlant;Karlant;;;;;;;;;;;x;
KRL_bourgeois_dictatorship;Karlant;Karlant;Karlant;;;;;;;;;;;x;
KRL_fascist_dictatorship;Karlant;Karlant;Karlant;;;;;;;;;;;x;
KRL_absolute_monarchy;Karlant;Karlant;Karlant;;;;;;;;;;;x;
KRL_prussian_constitutionalism;Karlant;Karlant;Karlant;;;;;;;;;;;x;
KRL_hms_government;Karlant;Karlant;Karlant;;;;;;;;;;;x;
KRL_democracy;Karlant;Karlant;Karlant;;;;;;;;;;;x;
KRL_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
KRL_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
KRL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
KRL_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
KRL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
KRL_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
KRL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
KRL_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
KRL_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
NTU_ADJ;Northumbrian;Northumbrian;Northumbrian;;;;;;;;;;;x;
NTU;Northumbria;Northumbria;Northumbria;;;;;;;;;;;x;
NTU_proletarian_dictatorship;Peoples Republic Of Northumbria;Peoples Republic Of Northumbria;Peoples Republic Of Northumbria;;;;;;;;;;;x;
NTU_presidential_dictatorship;Northumbrian Republic;Northumbrian Republic;Northumbrian Republic;;;;;;;;;;;x;
NTU_bourgeois_dictatorship;Northumbria;Northumbria;Northumbria;;;;;;;;;;;x;
NTU_fascist_dictatorship;Northumbriam Empire;Northumbriam Empire;Northumbriam Empire;;;;;;;;;;;x;
NTU_absolute_monarchy;Northumbria;Northumbria;Northumbria;;;;;;;;;;;x;
NTU_prussian_constitutionalism;Northumbria;Northumbria;Northumbria;;;;;;;;;;;x;
NTU_hms_government;Northumbria;Northumbria;Northumbria;;;;;;;;;;;x;
NTU_democracy;Republic Of Northumbria;Republic Of Northumbria;Republic Of Northumbria;;;;;;;;;;;x;
NTU_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NTU_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NTU_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NTU_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NTU_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NTU_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NTU_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NTU_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NTU_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
ANT_ADJ;Antiochian;Antiochian;Antiochian;;;;;;;;;;;x;
ANT;Principality Of Antioch;Principality Of Antioch;Principality Of Antioch;;;;;;;;;;;x;
ANT_proletarian_dictatorship;Democratic Republic Of Antioch;Democratic Republic Of Antioch;Democratic Republic Of Antioch;;;;;;;;;;;x;
ANT_presidential_dictatorship;Principality Of Antioch;Principality Of Antioch;Principality Of Antioch;;;;;;;;;;;x;
ANT_bourgeois_dictatorship;Principality Of Antioch;Principality Of Antioch;Principality Of Antioch;;;;;;;;;;;x;
ANT_fascist_dictatorship;Empire Of Antioch;Empire Of Antioch;Empire Of Antioch;;;;;;;;;;;x;
ANT_absolute_monarchy;Principality Of Antioch;Principality Of Antioch;Principality Of Antioch;;;;;;;;;;;x;
ANT_prussian_constitutionalism;Principality Of Antioch;Principality Of Antioch;Principality Of Antioch;;;;;;;;;;;x;
ANT_hms_government;Principality Of Antioch;Principality Of Antioch;Principality Of Antioch;;;;;;;;;;;x;
ANT_democracy;Republic Of Antioch;Republic Of Antioch;Republic Of Antioch;;;;;;;;;;;x;
ANT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ANT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ANT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ANT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ANT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ANT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ANT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ANT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ANT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
IBR_ADJ;Iberian;Iberian;Iberian;;;;;;;;;;;x;
IBR;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBR_proletarian_dictatorship;Iberian Democratic Republic;Iberian Democratic Republic;Iberian Democratic Republic;;;;;;;;;;;x;
IBR_presidential_dictatorship;Iberian Republic;Iberian Republic;Iberian Republic;;;;;;;;;;;x;
IBR_bourgeois_dictatorship;Iberian Empire;Iberian Empire;Iberian Empire;;;;;;;;;;;x;
IBR_fascist_dictatorship;Iberian Empire;Iberian Empire;Iberian Empire;;;;;;;;;;;x;
IBR_absolute_monarchy;Iberian Empire;Iberian Empire;Iberian Empire;;;;;;;;;;;x;
IBR_prussian_constitutionalism;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBR_hms_government;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBR_democracy;Iberian Republic;Iberian Republic;Iberian Republic;;;;;;;;;;;x;
IBR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
